"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"BZ1","Buzzer active","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1","Активный зуммер до 100 мА"
"C1","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Времязадающий"
"C2","10n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Фильтр CV"
"C3","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Развязка"
"J1","5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание"
"R1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","Времязадающий"
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","Подтяжка входа запуска"
"SW1","START","Button_Switch_THT:SW_PUSH_6mm","1","Запуск"
"U1","NE555","Package_DIP:DIP-8_W7.62mm","1","Ждущий режим"
