"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Времязадающий"
"C2","10n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Фильтр вывода CV"
"C3","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Развязка питания"
"D1","LED","LED_THT:LED_D5.0mm","1","Мигающий светодиод"
"J1","5-12V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание"
"R1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","R1"
"R2","68k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","R2"
"R3","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","Ток светодиода"
"U1","NE555","Package_DIP:DIP-8_W7.62mm","1","Таймер в автоколебательном режиме"
