"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1,C2","10u","Capacitor_SMD:C_0805_2012Metric","2","Входной,Выходной"
"D1","LED red","LED_SMD:LED_0805_2012Metric","1","Идёт заряд"
"D2","LED green","LED_SMD:LED_0805_2012Metric","1","Заряд окончен"
"J1","5V IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Вход 5 В"
"J2","BATTERY","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","Аккумулятор 3,7 В"
"R1","1k2","Resistor_SMD:R_0805_2012Metric","1","Задаёт ток 1 А"
"R2,R3","1k","Resistor_SMD:R_0805_2012Metric","2","Ток индикатора"
"U1","TP4056","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm","1","TEMP на GND — термодатчик не используется"
