"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","Защитный диод (катод к +5V)"
"D2","LED","LED_SMD:LED_0805_2012Metric","1","Горит при включённом реле"
"J1","CTRL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","1 = +5V, 2 = сигнал, 3 = GND"
"K1","Relay coil","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Катушка реле (или модуль реле)"
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","1","Ключ"
"R1,R3","1k","Resistor_SMD:R_0805_2012Metric","2","Индикатор,Ток базы ≈ 3–4 мА"
"R2","10k","Resistor_SMD:R_0805_2012Metric","1","Закрывает транзистор при отключённом входе"
