"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_SMD:C_0805_2012Metric","1","Входной"
"C2","22u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Выходной (AMS1117 любит ESR 0,1–10 Ом → электролит/тантал)"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","1","ВЧ-развязка"
"D1","LED green","LED_SMD:LED_0805_2012Metric","1","Индикатор 3,3 В"
"J1","5V IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Вход 5 В"
"J2","3V3 OUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Выход 3,3 В"
"R1","1k","Resistor_SMD:R_0805_2012Metric","1","Индикатор"
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","LDO 3,3 В"
