"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","100u/25V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","Фильтр питания"
"D1","SS34","Diode_SMD:D_SMA","1","Для индуктивной нагрузки (мотор)"
"J1","CTRL","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Вход ШИМ от МК: 1 = сигнал, 2 = GND"
"J2","LOAD","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal","1","Нагрузка"
"J3","12V IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal","1","Питание нагрузки"
"Q1","AO3400A","Package_TO_SOT_SMD:SOT-23","1","N-MOSFET, Rds ≈ 30 мОм"
"R1","100","Resistor_SMD:R_0805_2012Metric","1","Ограничение тока заряда затвора"
"R2","100k","Resistor_SMD:R_0805_2012Metric","1","Подтяжка затвора к земле"
