"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_SMD:C_0805_2012Metric","1","Фильтр"
"D1","LED","LED_SMD:LED_0805_2012Metric","1","Питание есть"
"F1","500mA PTC","Fuse:Fuse_1206_3216Metric","1","Самовосстанавливающийся предохранитель"
"J1","USB-C","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","Гнездо USB-C 16 pin"
"J2","OUT","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","Выход 5 В и линии USB"
"R1,R2","5k1","Resistor_SMD:R_0805_2012Metric","2","Rd на CC1,Rd на CC2"
"R3","1k","Resistor_SMD:R_0805_2012Metric","1","Индикатор"
"U1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1","ESD-защита линий данных"
