"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1,C2","22u","Capacitor_SMD:C_0805_2012Metric","2","Входной,Выходной"
"D1","SS34","Diode_SMD:D_SMA","1","Шоттки"
"J1","BAT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Вход 2–5 В (Li-ion)"
"J2","OUT 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Выход"
"L1","22u","Inductor_SMD:L_Sunlord_CD54","1","Силовой дроссель"
"R1","73k2","Resistor_SMD:R_0805_2012Metric","1","Верхнее плечо делителя"
"R2","10k","Resistor_SMD:R_0805_2012Metric","1","Нижнее плечо делителя"
"U1","MT3608","Package_TO_SOT_SMD:SOT-23-6","1","EN подключён к входу — всегда включён"
